,原文,type,英文,中文,原因,,,
46,doesn't work with my N71Jv :/ but ok with my lattitude,差评,doesn't work with my N71Jv :/ but ok with my latitude ,不适用于我的 N71Jv :/ 但我的纬度没问题,描述不符,,,
47,El producto no es compatible con portatil HP,差评,The product is not compatible with HP portable ,该产品与 HP 便携式计算机不兼容,描述不符,,,
48,J'aimerais bien donner mon avis si je l'avais re?u. Il y a de cela plus 100 jours.,差评,I would like to give my opinion if I had received it. There is more 100 days. ,如果我收到了，我想发表一下我的意见。还有100天。,物流,,,
49,Le falta el cable de alimentación de la corriente,差评,The power cord is missing from the power ,电源线丢失,少电源线,,,
50,Not compatible with HP omen. Bad election,差评,Not compatible with HP omen. Bad election ,与 HP omen 不兼容。糟糕的选举,描述不符,,,
51,"Не дошла посылка,жду возврата денег?",差评,"Did not reach the parcel, waiting for the return of money ",包裹没到，等退款,物流,,,
52,"Нет сетевого кабеля, нужно докупать отдельно.",差评,"No network cable, you need to buy separately. ",没有网线，需要单独购买。,少电源线,,,
53,?? ????? ????? HP . ?? ??? ??? ?? ?????,差评,Not suitable for HP PC. None of them cells ,不适用于 HP PC。没有一个细胞,描述不符,,,
54,Cable is little lose on connection and no other part of the cable which goes to power.,差评,Cable is little lose on connection and no other part of the cable which goes to power. ,电缆在连接时几乎没有丢失，并且电缆的其他部分没有通电。,少电源线,,,
55,Do not charge my laptop,差评,Do not charge my laptop ,不要给我的笔记本电脑充电,质量差,,,
56,El producto salio defectuoso y no sirve y porfavor quiero que mereenbolcen el dinero gracias,差评,The product came out defective and it does not serve and please I want you to mereen the money thanks ,该产品有缺陷，无法使用，请给我钱，谢谢,质量差,,,
57,Faut être sure de l’achat parce que moi ?a ne marche pas j’ai envoyé un message pour un échange ou un remboursement et ils ne répondent jamais faites très attention mauvais vendeur,差评,Must be sure of buying because I do not work I sent a message for an exchange or a refund and they never answer very care badly bad seller ,一定要买，因为我不工作 我发了一条消息要换货或退款 他们从不回答 非常小心 非常糟糕的卖家,质量差,,,
58,I've been waiting since June....,差评,I've been waiting since June.... ,我从六月就一直在等待......,物流,,,
59,Nicht gut,差评,not good ,不好,不明确,,,
60,The item broke the first minute i used it.,差评,The item broke the first minute i used it. ,该项目在我使用它的第一分钟就坏了。,质量差,,,
61,"Покупал для монитора. Монитор с ним мигает, работать невозможно. Для чего-то другого он может и сгодится",差评,"Bought for the monitor. The monitor flashes with it, it is impossible to work. For something else, he can fit ",为显示器买的。显示器随之闪烁，无法工作。对于别的东西，他可以适应,质量差,,,
62,"Посылка не пришла, к сожалению",差评,"The parcel did not come, unfortunately ",包裹没来，可惜,物流,,,
63,"Думал нормальный блок питания, всё с виду красиво, об отсутствии штекера 220v уже был предупреждён заранее. Посылка отслеживалась до порога, вопросов нет. Вскрыв его я был в шоке, это какой-то испанский стыд. Ему цена 500? вместе с переходниками. Распайка только с 1 стороны платы, smd на другой стороне вообще нет, дроссели и другие компоненты отсутствуют для удешевления и облегчения производства. До этого брал с AliExpress другой универсальный блок питания бренда ""noname"", фотка ниже, у него были примерно такие же компоненты на плате, за исключением переключателя напряжения, при работе был запах пластика и в итоге за 1.5 часа сгорел. В этом я вообще не уверен. Припаял другое гнездо на вилку 220v, наделал дырок, под радиатор термопасту нанёс, в итоге греется как чёрт, весь! Блоку питания ничем не помочь, вообще. Греется даже трансформатор! Прошу вас, остерегайтесь этой модели ZH-65-258. Там есть только 1 предохранитель, если он не сработает, то блок или убьёт ваш ноутбук или сгорит.",差评,"I thought a normal power supply, everything looks beautiful, about the absence of a plug of 220V was already warned in advance. The parcel was tracked to the threshold, there are no questions. I was in shock with a shock, this is some kind of Spanish shame. It is the price of 500? along with adapters. Spacking only with 1 side of the board, SMD on the other side is generally no, chokes and other components are absent for cheaper and facilitate production. Prior to that, he took with the Aliexpress other universal power supply of the ""Noname"" brand, the photo below, he had about the same components on the board, with the exception of the voltage switch, the smell of plastic was the smell of plastic and in the end of 1.5 hours burned down. I'm not sure about this. Speed ??another nest on the plug 220V, endowed holes, under the radiator the thermal fever, in the end heels like a damn, all! The power supply does not help anything, in general. Even a transformer is heated! I ask you, beware of this model ZH-65-258. There is only 1 fuse if it does not work, the block or kills your laptop or burns. ",本以为是普通电源，一切看起来都很漂亮，关于没有220V的插头已经提前警告过。包裹被追踪到了门槛，没有问题。我被震惊了，这是西班牙的某种耻辱。是500的价格吗？连同适配器。只用板的一面进行包装，另一面一般没有SMD，没有扼流圈和其他组件，以降低成本并便于生产。在此之前，他用速卖通另一款“Noname”品牌的万能电源拍了下，下图，他的板子上的元件差不多，除了电压开关，塑料味是塑料并在 1.5 小时内被烧毁。我不确定这一点。速度另窝上插头220V，赋孔，散热器下发热，到底高跟鞋跟屁屁似的，全！一般来说，电源没有任何帮助。连变压器都被加热了！请问大家，小心这个型号的ZH-65-258。如果它不起作用，则只有 1 个保险丝，它会阻止或杀死您的笔记本电脑或烧毁。,质量差,,,
64,"article non utilisable, car je me rends compte qu'il est vendu sans la partie c?ble qui se branche à une prise électrique. Je le renvoie au vendeur.",差评,Article not usable because I realize that it is sold without the cable part that plugs into an electrical outlet. I send it back to the seller. ,物品无法使用，因为我意识到它是在没有插入电源插座的电缆部分的情况下出售的。我把它寄回给卖家。,物流,,,
65,No vale para HP. mal,差评,It is not worth HP. evil ,这不值得惠普。邪恶的,描述不符,,,
66,très bon produit,差评,very good product ,非常好的产品,不明确,,,
67,It got burned in the first 10 minutes of operation,差评,It got burned in the first 10 minutes of operation ,它在运行的前 10 分钟内被烧毁,质量差,,,
68,Adapter not working.. I want to return back,差评,Adapter not working.. I want to return back ,适配器不工作.. 我想回来,质量差,,,
69,"El paquete nunca lo mandaron, el vendedor jamas contestó a mis dudas y preguntas, lo desaconsejo total mente. Lo bueno que aliexpres me reembolso todo el importe.",差评,"The package never sent him, the seller never answered my doubts and questions, I discourage him totally mind. The good thing that Aliexpres will refund me all the amount. ",包裹从来没有寄给他，卖家从来没有回答我的疑问和问题，我完全不介意他。好消息是 Aliexpres 会退还我所有的金额。,卖家不回复,,,
70,not get this,差评,not get this ,没有得到这个,物流,,,
